top_left_y,top_left_x,bottom_right_y,bottom_right_x
43.083337,-76.188677,43.074936,-76.172069
43.038371,-76.135267,43.036927,-76.129931
43.052100,-76.260384,43.043440,-76.231924
43.041862,-76.051086,43.026307,-76.020963
