lng,lat,r
-76.0983752,43.0540116,2700
-76.108094,43.015082,2700
-76.1357863,43.0462901,2700
-76.1722502,43.0685097,2700
-76.1904584,43.0101927,2700
-76.1277564,42.9987133,2700
-76.0531521,43.039665,2700
-76.1319434,43.0737731,2700
-76.22553,43.061099,2700
-76.22927,43.0262,2700
